Player,Runs,Mins,BF,4s,6s,SR,Inns,Opposition,Ground,StartDate,Result
RGSharma,264,225,173,33,9,152.6,1,vSriLanka,Kolkata,11/13/2014,yes
RGSharma,209,222,158,12,16,132.27,1,vAustralia,Bengaluru,11/2/2013,yes
RGSharma,171,205,163,13,7,104.9,1,vAustralia,Perth,1/12/2016,yes
VKohli,154,202,134,16,1,114.92,2,vNewZealand,Mohali,10/23/2016,yes
RGSharma,150,215,133,13,6,112.78,2,vSouthAfrica,Kanpur,10/11/2015,yes
YuvrajSingh,150,183,127,21,3,118.11,1,vEngland,Cuttack,1/19/2017,yes
RGSharma,141,195,123,17,4,114.63,2,vAustralia,Jaipur,10/16/2013,yes
MSDhoni,139,169,121,12,5,114.87,1,vAustralia,Mohali,10/19/2013,yes
VKohli,139,192,126,12,3,110.31,2,vSriLanka,Ranchi,11/16/2014,yes
RGSharma,138,228,139,9,4,99.28,1,vAustralia,Melbourne,1/18/2015,yes
VKohli,138,202,140,6,5,98.57,1,vSouthAfrica,Chennai,10/22/2015,yes
SDhawan,137,199,146,16,2,93.83,1,vSouthAfrica,Melbourne,2/22/2015,yes
RGSharma,137,223,126,14,3,108.73,1,vBangladesh,Melbourne,3/19/2015,yes
VKohli,136,157,122,16,2,111.47,2,vBangladesh,Fatullah,2/26/2014,yes
MSDhoni,134,203,122,10,6,109.83,1,vEngland,Cuttack,1/19/2017,yes
SDhawan,132,0,90,20,3,146.66,2,vSriLanka,Dambulla,8/20/2017,yes
VKohli,131,0,96,17,2,136.45,1,vSriLanka,Colombo(RPS),8/31/2017,yes
VKohli,127,164,114,13,3,111.4,1,vWestIndies,Dharamsala,10/17/2014,yes
SDhawan,126,154,113,14,2,111.5,2,vAustralia,Canberra,1/20/2016,yes
SDhawan,125,198,128,15,1,97.65,1,vSriLanka,TheOval,6/8/2017,yes
ATRayudu,124,199,133,12,1,93.23,1,vZimbabwe,Harare,7/10/2015,yes
RGSharma,124,0,145,16,2,85.51,2,vSriLanka,Pallekele,8/27/2017,yes
RGSharma,124,175,127,11,3,97.63,1,vAustralia,Brisbane,1/15/2016,yes
RGSharma,123,165,129,15,1,95.34,2,vBangladesh,Birmingham,6/15/2017,yes
VKohli,123,179,111,11,2,110.81,2,vNewZealand,Napier,1/19/2014,yes
VKohli,122,147,105,8,5,116.19,2,vEngland,Pune,1/15/2017,yes
ATRayudu,121,0,118,10,4,102.54,2,vSriLanka,Ahmedabad,11/6/2014,yes
KMJadhav,120,125,76,12,4,157.89,2,vEngland,Pune,1/15/2017,yes
SDhawan,119,164,95,20,0,125.26,2,vWestIndies,Kanpur,11/27/2013,yes
VKohli,117,174,117,7,2,100,1,vAustralia,Melbourne,1/17/2016,yes
SDhawan,116,209,127,11,2,91.33,1,vZimbabwe,Harare,7/26/2013,yes
VKohli,115,104,66,18,1,174.24,2,vAustralia,Nagpur,10/30/2013,yes
VKohli,115,133,108,13,1,106.48,2,vZimbabwe,Harare,7/24/2013,yes
SDhawan,114,159,94,12,1,121.27,1,vSouthAfrica,Cardiff,6/6/2013,yes
MSDhoni,113,177,125,7,3,90.4,1,vPakistan,Chennai,12/30/2012,yes
SDhawan,113,159,107,14,3,105.6,1,vSriLanka,Cuttack,11/2/2014,yes
VKohli,111,0,115,12,2,96.52,2,vWestIndies,Kingston,7/6/2017,yes
AMRahane,111,170,108,13,2,102.77,1,vSriLanka,Cuttack,11/2/2014,yes
SKRaina,110,141,104,9,4,105.76,2,vZimbabwe,Auckland,3/14/2015,yes
VKohli,110,0,116,9,0,94.82,2,vSriLanka,Colombo(RPS),9/3/2017,yes
VKohli,107,168,126,8,0,84.92,1,vPakistan,Adelaide,2/15/2015,yes
AMRahane,106,121,100,10,4,106,2,vEngland,Birmingham,9/2/2014,yes
VKohli,106,131,92,11,1,115.21,2,vAustralia,Canberra,1/20/2016,yes
KMJadhav,105,110,87,12,1,120.68,1,vZimbabwe,Harare,7/14/2015,yes
MKPandey,104,129,81,8,1,128.39,2,vAustralia,Sydney,1/23/2016,yes
RGSharma,104,0,88,11,3,118.18,1,vSriLanka,Colombo(RPS),8/31/2017,yes
AMRahane,103,0,104,10,2,99.03,1,vWestIndies,PortofSpain,6/25/2017,yes
SDhawan,102,183,107,10,1,95.32,2,vWestIndies,TheOval,6/11/2013,yes
VKohli,102,120,83,13,2,122.89,1,vWestIndies,PortofSpain,7/5/2013,yes
VKohli,100,82,52,8,7,192.3,2,vAustralia,Jaipur,10/16/2013,yes
KLRahul,100,176,115,7,1,86.95,2,vZimbabwe,Harare,11/6/2016,yes
SDhawan,100,152,102,11,0,98.03,2,vAustralia,Nagpur,30/10/13,yes
SKRaina,100,106,75,12,3,133.33,1,vEngland,Cardiff,27/08/14,yes
SDhawan,100,119,85,11,5,117.64,2,vIreland,Hamilton,10/3/2015,yes
VKohli,99,159,100,9,0,99,1,vWestIndies,Visakhapatnam,24/11/13,yes
RGSharma,99,142,108,9,1,91.66,2,vAustralia,Sydney,23/01/16,yes
SDhawan,97,132,81,11,4,119.75,2,vEngland,Birmingham,2/9/2014,yes
VKohli,96,96,78,13,0,123.07,2,vBangladesh,Birmingham,15/06/17,yes
SDhawan,95,112,86,14,0,110.46,2,vAustralia,Jaipur,16/10/13,yes
SDhawan,94,161,114,7,1,82.45,1,vSriLanka,Fatullah,28/02/14,yes
MSDhoni,92,144,86,7,4,106.97,1,vSouthAfrica,Indore,14/10/15,yes
