Player,Runs,Mins,BF,4s,6s,SR,Inns,Opposition,Ground,StartDate,Result
KLRahul,110,84,51,12,5,215.68,2,vWestIndies,Lauderhill,8/27/2016,yes
RGSharma,106,79,66,12,5,160.6,1,vSouthAfrica,Dharamsala,10/2/2015,yes
VKohli,90,71,55,9,2,163.63,1,vAustralia,Adelaide,1/26/2016,yes
VKohli,89,63,47,11,1,189.36,1,vWestIndies,Mumbai,3/31/2016,yes
RGSharma,83,90,55,7,3,150.9,1,vBangladesh,Dhaka,2/24/2016,yes
VKohli,82,78,51,9,2,160.78,2,vAustralia,Mohali,3/27/2016,yes
VKohli,82,0,54,7,1,151.85,2,vSriLanka,Colombo(RPS),9/6/2017,yes
VKohli,78,61,61,8,2,127.86,2,vPakistan,Colombo(RPS),9/30/2012,yes
YuvrajSingh,77,57,35,8,5,220,2,vAustralia,Rajkot,10/10/2013,yes
VKohli,77,75,58,5,4,132.75,1,vSriLanka,Dhaka,4/6/2014,yes
VKohli,72,67,44,5,2,163.63,2,vSouthAfrica,Dhaka,4/4/2014,yes
YuvrajSingh,72,59,36,4,7,200,1,vPakistan,Ahmedabad,12/28/2012,yes
KLRahul,71,75,47,6,2,151.06,1,vEngland,Nagpur,1/29/2017,yes
VKohli,66,54,41,9,1,160.97,2,vEngland,Birmingham,9/7/2014,yes
SKRaina,63,57,45,2,5,140,1,vEngland,Bengaluru,2/1/2017,yes
RGSharma,62,83,55,5,2,112.72,2,vWestIndies,Dhaka,3/23/2014,no
RGSharma,62,54,28,4,4,221.42,2,vWestIndies,Lauderhill,8/27/2016,yes
YuvrajSingh,60,61,43,5,4,139.53,1,vAustralia,Dhaka,3/30/2014,yes
RGSharma,60,69,47,5,2,127.65,1,vAustralia,Melbourne,1/29/2016,yes
SDhawan,60,63,44,9,1,136.36,2,vBangladesh,Dhaka,3/6/2016,yes
VKohli,59,44,33,7,1,178.78,1,vAustralia,Melbourne,1/29/2016,yes
KMJadhav,58,70,42,7,1,138.09,1,vZimbabwe,Harare,6/22/2016,yes
VKohli,57,66,50,3,1,114,2,vBangladesh,Dhaka,3/28/2014,no
VKohli,56,85,47,7,0,119.14,2,vSriLanka,Dhaka,3/1/2016,no
RGSharma,56,60,44,5,1,127.27,2,vBangladesh,Dhaka,3/28/2014,yes
MSDhoni,56,56,36,5,2,155.55,1,vEngland,Bengaluru,2/1/2017,yes
RGSharma,55,48,33,5,1,166.66,1,vEngland,Colombo(RPS),9/23/2012,yes
VKohli,55,66,37,7,1,148.64,2,vPakistan,Kolkata,3/19/2016,yes
VKohli,54,51,41,5,1,131.7,2,vWestIndies,Dhaka,3/23/2014,yes
MandeepSingh,52,56,40,6,1,130,2,vZimbabwe,Harare,6/20/2016,yes
RGSharma,52,57,38,5,1,136.84,2,vAustralia,Sydney,1/31/2016,yes
MKPandey,51,0,36,4,1,141.66,2,vSriLanka,Colombo(RPS),9/6/2017,yes
SDhawan,51,0,25,7,2,204,1,vSriLanka,Ranchi,2/12/2016,yes
VKohli,50,60,39,4,2,128.2,1,vAfghanistan,Colombo(RPS),9/19/2012,yes
VKohli,50,49,36,2,1,138.88,2,vAustralia,Sydney,1/31/2016,yes
SKRaina,49,38,25,6,1,196,2,vAustralia,Sydney,1/31/2016,yes
VKohli,49,71,51,7,0,96.07,2,vPakistan,Dhaka,2/27/2016,no
MKPandey,48,0,35,1,3,137.14,2,vZimbabwe,Harare,6/18/2016,yes
KDKarthik,48,0,29,5,3,165.51,1,vWestIndies,Kingston,7/9/2017,yes
KLRahul,47,56,40,2,2,117.5,2,vZimbabwe,Harare,6/20/2016,no
SDhawan,46,0,46,5,1,100,2,vSriLanka,Visakhapatnam,2/14/2016,no
GGambhir,45,70,38,5,0,118.42,1,vEngland,Colombo(RPS),9/23/2012,no
SKRaina,45,45,34,5,0,132.35,1,vSouthAfrica,Colombo(RPS),10/2/2012,yes
GGambhir,43,56,41,2,1,104.87,1,vPakistan,Bengaluru,12/25/2012,no
VKohli,43,58,27,1,3,159.25,1,vSouthAfrica,Dharamsala,10/2/2015,yes
RGSharma,43,0,36,2,1,119.44,1,vSriLanka,Ranchi,2/12/2016,no
RGSharma,43,29,31,3,3,138.7,1,vWestIndies,Mumbai,3/31/2016,yes
MSDhoni,43,53,25,2,2,172,2,vWestIndies,Lauderhill,8/27/2016,yes
AMRahane,42,43,31,5,1,135.48,1,vPakistan,Bengaluru,12/25/2012,yes
RVUthappa,42,0,25,9,0,168,2,vZimbabwe,Harare,7/19/2015,yes
SDhawan,42,46,32,3,2,131.25,1,vAustralia,Melbourne,29/01/16,yes
VKohli,41,62,28,5,0,146.42,2,vBangladesh,Dhaka,6/3/2016,yes
SKRaina,41,63,34,3,1,120.58,1,vAustralia,Adelaide,26/01/16,yes
VKohli,40,33,32,6,0,125,1,vEngland,Colombo(RPS),23/09/12,yes
AMRahane,40,68,35,2,0,114.28,1,vWestIndies,Mumbai,31/03/16,no
RVUthappa,39,57,35,2,0,111.42,1,vZimbabwe,Harare,17/07/15,no
RGSharma,39,26,28,7,1,139.28,2,vU.A.E.,Dhaka,3/3/2016,yes
VKohli,39,0,22,7,1,177.27,1,vWestIndies,Kingston,9/7/2017,yes
SKRaina,38,42,33,6,0,115.15,1,vAfghanistan,Colombo(RPS),19/09/12,no
YuvrajSingh,38,21,21,2,3,180.95,2,vEngland,Pune,20/12/12,yes
VKohli,38,25,20,7,0,190,1,vEngland,Mumbai,22/12/12,yes
MSDhoni,38,23,18,3,2,211.11,1,vEngland,Mumbai,22/12/12,yes
