Player,Overs,Mdns,Runs,Wkts,Economy,Inns,Opposition,Ground,StartDate,Result
STRBinny,4.4,2,4,6,0.85,2,vBangladesh,Dhaka,6/17/2014,yes
AMishra,8.5,0,48,6,5.43,1,vZimbabwe,Bulawayo,8/3/2013,no
AMishra,6,2,18,5,3,2,vNewZealand,Visakhapatnam,10/29/2016,yes
JJBumrah,10,2,27,5,2.7,1,vSriLanka,Pallekele,8/27/2017,yes
RAJadeja,10,2,36,5,3.6,1,vWestIndies,TheOval,6/11/2013,no
BKumar,9.4,0,42,5,4.34,1,vSriLanka,Colombo(RPS),9/3/2017,no
BKumar,6,1,8,4,1.33,2,vSriLanka,PortofSpain,7/9/2013,yes
MMSharma,8,2,22,4,2.75,2,vBangladesh,Dhaka,6/17/2014,yes
JJBumrah,10,1,22,4,2.2,1,vZimbabwe,Harare,6/15/2016,yes
RAJadeja,7.5,1,23,4,2.93,1,vSriLanka,PortofSpain,7/11/2013,yes
RAshwin,10,1,25,4,2.5,1,vU.A.E.,Perth,2/28/2015,yes
RAJadeja,7,0,28,4,4,2,vEngland,Cardiff,8/27/2014,no
JJBumrah,9.5,2,28,4,2.84,1,vZimbabwe,Harare,6/11/2016,yes
RAJadeja,10,1,30,4,3,1,vAfghanistan,Dhaka,3/5/2014,yes
UTYadav,9,1,31,4,3.44,2,vBangladesh,Melbourne,3/19/2015,yes
BKumar,10,3,33,4,3.3,2,vZimbabwe,Harare,7/12/2015,yes
ISharma,8,1,34,4,4.25,2,vSriLanka,Cuttack,11/2/2014,no
DSKulkarni,10,1,34,4,3.4,2,vSriLanka,Kolkata,11/13/2014,yes
MohammedShami,9,1,35,4,3.88,2,vPakistan,Adelaide,2/15/2015,no
MohammedShami,9.3,0,36,4,3.78,2,vWestIndies,Delhi,10/11/2014,no
ISharma,10,1,40,4,4,1,vSouthAfrica,Centurion,12/11/2013,no
JDUnadkat,10,3,41,4,4.1,2,vZimbabwe,Harare,7/26/2013,no
JJBumrah,10,2,43,4,4.3,1,vSriLanka,Pallekele,8/24/2017,no
AMishra,10,0,47,4,4.7,1,vZimbabwe,Harare,7/28/2013,no
MohammedShami,10,0,48,4,4.8,1,vWestIndies,Kingston,7/6/2017,no
MohammedShami,10,1,50,4,5,1,vBangladesh,Fatullah,2/26/2014,no
UTYadav,9,0,53,4,5.88,1,vSriLanka,Hyderabad(Deccan),11/9/2014,no
MohammedShami,9,0,55,4,6.11,1,vNewZealand,Napier,1/19/2014,no
MohammedShami,9,1,66,4,7.33,1,vWestIndies,Kochi,10/8/2014,no
UTYadav,9,0,72,4,8,1,vAustralia,Sydney,3/26/2015,no
ISharma,10,0,77,4,7.7,1,vAustralia,Canberra,1/20/2016,no
RAJadeja,6.2,0,19,3,3,1,vEngland,Ranchi,1/19/2013,yes
AMishra,8.4,0,25,3,2.88,1,vZimbabwe,Bulawayo,8/1/2013,yes
YSChahal,6,2,25,3,4.16,1,vZimbabwe,Harare,6/13/2016,no
MohammedShami,7.3,1,28,3,3.73,1,vEngland,Birmingham,9/2/2014,no
RAshwin,10,1,28,3,2.8,2,vWestIndies,NorthSound,6/30/2017,yes
BKumar,10,2,29,3,2.9,2,vEngland,Kochi,1/15/2013,yes
BKumar,8,1,29,3,3.62,2,vWestIndies,PortofSpain,7/5/2013,no
KMJadhav,5,0,29,3,5.8,1,vNewZealand,Mohali,10/23/2016,no
RAJadeja,10,1,30,3,3,2,vSriLanka,Fatullah,2/28/2014,yes
UTYadav,7.4,1,30,3,3.91,2,vPakistan,Birmingham,6/4/2017,no
RAshwin,10,3,31,3,3.1,1,vAfghanistan,Dhaka,3/5/2014,yes
HHPandya,7,0,31,3,4.42,1,vNewZealand,Dharamsala,10/16/2016,no
UTYadav,8,1,32,3,4,2,vWestIndies,PortofSpain,7/5/2013,no
ISharma,9,1,33,3,3.66,1,vSriLanka,Cardiff,6/20/2013,no
STRBinny,8,0,33,3,4.12,2,vEngland,Perth,1/30/2015,no
ISharma,9.3,0,34,3,3.57,1,vPakistan,Kolkata,1/3/2013,no
SKRaina,10,1,34,3,3.4,1,vWestIndies,Kochi,11/21/2013,yes
ARPatel,10,0,34,3,3.4,1,vSriLanka,Dambulla,8/20/2017,yes
MohammedShami,8,2,35,3,4.37,1,vWestIndies,Perth,3/6/2015,no
JJBumrah,10,0,35,3,3.5,1,vNewZealand,Delhi,10/20/2016,no
ISharma,9.5,0,36,3,3.66,2,vPakistan,Delhi,1/6/2013,no
UTYadav,10,1,36,3,3.6,1,vWestIndies,NorthSound,7/2/2017,no
RAJadeja,10,0,37,3,3.7,1,vWestIndies,Kochi,11/21/2013,no
RAshwin,7,0,39,3,5.57,2,vEngland,Kochi,1/15/2013,no
RAJadeja,10,2,39,3,3.9,1,vEngland,Mohali,1/23/2013,no
RAshwin,10,0,39,3,3.9,1,vEngland,Nottingham,8/30/2014,no
ARPatel,10,0,39,3,3.9,2,vSouthAfrica,Indore,10/14/2015,no
ARPatel,10,1,40,3,4,1,vSriLanka,Hyderabad(Deccan),11/9/2014,no
HHPandya,10,0,40,3,4,1,vWestIndies,NorthSound,7/2/2017,no
RAJadeja,10,1,41,3,4.1,1,vPakistan,Kolkata,1/3/2013,no
RAshwin,10,0,41,3,4.1,2,vSouthAfrica,Melbourne,2/22/2015,no
MohammedShami,9,0,41,3,4.55,1,vIreland,Hamilton,3/10/2015,no
BKumar,8.4,0,41,3,4.73,2,vSouthAfrica,Indore,10/14/2015,no
KuldeepYadav,10,1,41,3,4.1,2,vWestIndies,NorthSound,6/30/2017,no
MohammedShami,8,1,42,3,5.25,1,vAustralia,Ranchi,10/23/2013,no
UTYadav,9.4,2,43,3,4.44,2,vWestIndies,Kingston,6/30/2013,no
AMishra,10,1,43,3,4.3,1,vZimbabwe,Harare,7/24/2013,no
UTYadav,9.5,1,43,3,4.37,1,vZimbabwe,Auckland,3/14/2015,no
RAshwin,9.4,0,44,3,4.55,2,vPakistan,Dhaka,3/2/2014,no
RAJadeja,9,0,44,3,4.88,2,vWestIndies,Delhi,10/11/2014,no
SKRaina,8,0,45,3,5.62,2,vBangladesh,Dhaka,6/24/2015,no
RAshwin,10,1,48,3,4.8,1,vSriLanka,Cardiff,6/20/2013,no
MohammedShami,8,0,48,3,6,1,vSouthAfrica,Durban,12/8/2013,no
UTYadav,9,0,48,3,5.33,1,vBangladesh,Dhaka,6/15/2014,no
MohammedShami,9,2,48,3,5.33,1,vZimbabwe,Auckland,3/14/2015,no
MMSharma,10,1,48,3,4.8,1,vZimbabwe,Auckland,3/14/2015,no
AMishra,8.5,0,49,3,5.54,1,vNewZealand,Dharamsala,10/16/2016,no
HHPandya,10,1,49,3,4.9,1,vEngland,Kolkata,1/22/2017,no
KuldeepYadav,9,0,50,3,5.55,2,vWestIndies,PortofSpain,6/25/2017,no
RAshwin,10,0,51,3,5.1,1,vBangladesh,Dhaka,6/18/2015,no
MohammedShami,8.1,0,52,3,6.36,2,vAustralia,Bengaluru,11/2/2013,no
UTYadav,10,1,53,3,5.3,1,vWestIndies,Kingston,7/6/2017,no
MohammedShami,7,0,55,3,7.85,1,vNewZealand,Hamilton,1/22/2014,no
STRBinny,10,1,55,3,5.5,2,vZimbabwe,Harare,7/14/2015,no
BBSran,9.2,0,56,3,6,2,vAustralia,Perth,1/12/2016,no
DSKulkarni,8,0,57,3,7.12,1,vSriLanka,Ranchi,11/16/2014,no
AMishra,10,0,60,3,6,1,vNewZealand,Delhi,10/20/2016,no
RAshwin,10,0,65,3,6.5,2,vEngland,Cuttack,1/19/2017,no
UTYadav,10,1,67,3,6.7,1,vAustralia,Canberra,1/20/2016,no
MohammedShami,10,1,68,3,6.8,1,vSouthAfrica,Johannesburg,12/5/2013,no
BKumar,10,0,68,3,6.8,2,vSouthAfrica,Chennai,10/22/2015,no
MohammedShami,10,0,69,3,6.9,1,vSouthAfrica,Centurion,12/11/2013,no
RAJadeja,10,0,73,3,7.3,2,vAustralia,Bengaluru,11/2/2013,no
UTYadav,10,0,75,3,7.5,1,vNewZealand,Mohali,10/23/2016,no
MohammedShami,10,0,81,3,8.1,2,vSriLanka,Fatullah,2/28/2014,no
KMJadhav,3,0,6,2,2,1,vNewZealand,Dharamsala,10/16/2016,no
ARPatel,4.1,0,9,2,2.16,2,vNewZealand,Visakhapatnam,10/29/2016,no
BKumar,5,1,9,2,1.8,2,vWestIndies,PortofSpain,6/25/2017,no
RAJadeja,7,1,12,2,1.71,2,vEngland,Kochi,1/15/2013,no
BKumar,8,3,14,2,1.75,1,vEngland,Birmingham,9/2/2014,no
RAshwin,4,1,15,2,3.75,2,vEngland,Birmingham,6/23/2013,no
UTYadav,6.3,2,15,2,2.3,1,vU.A.E.,Perth,2/28/2015,no
ISharma,4,0,17,2,4.25,2,vSriLanka,PortofSpain,7/9/2013,no
RAJadeja,5,0,17,2,3.4,2,vSriLanka,PortofSpain,7/9/2013,no
BBSran,6,1,17,2,2.83,1,vZimbabwe,Harare,6/13/2016,no
BKumar,8,2,19,2,2.37,1,vPakistan,Birmingham,6/15/2013,no
