Player,Overs,Mdns,Runs,Wkts,Econ,Inns,Opposition,Ground,StartDate,Result
YSChahal,4,0,25,6,6.25,2,vEngland,Bengaluru,2/1/2017,yes
RAshwin,4,1,8,4,2,1,vSriLanka,Visakhapatnam,2/14/2016,yes
BBSran,4,0,10,4,2.5,1,vZimbabwe,Harare,6/20/2016,yes
RAshwin,3.2,0,11,4,3.3,2,vAustralia,Dhaka,3/30/2014,yes
HarbhajanSingh,4,2,12,4,3,2,vEngland,Colombo(RPS),9/23/2012,yes
HHPandya,3.3,0,8,3,2.28,1,vPakistan,Dhaka,2/27/2016,yes
BKumar,4,0,9,3,2.25,2,vPakistan,Bengaluru,12/25/2012,yes
JJBumrah,4,0,11,3,2.75,1,vZimbabwe,Harare,6/20/2016,yes
RAshwin,4,0,14,3,3.5,2,vSriLanka,Ranchi,2/12/2016,yes
JJBumrah,2.3,0,14,3,5.6,2,vEngland,Bengaluru,2/1/2017,yes
YuvrajSingh,4,0,17,3,4.25,2,vEngland,Mumbai,12/22/2012,yes
ARPatel,4,0,17,3,4.25,2,vZimbabwe,Harare,7/17/2015,yes
LBalaji,3.3,0,19,3,5.42,2,vAfghanistan,Colombo(RPS),9/19/2012,yes
YuvrajSingh,4,0,19,3,4.75,1,vEngland,Pune,12/20/2012,yes
LBalaji,3.4,0,22,3,6,1,vPakistan,Colombo(RPS),9/30/2012,yes
ZKhan,4,0,22,3,5.5,2,vSouthAfrica,Colombo(RPS),10/2/2012,yes
RAshwin,4,0,22,3,5.5,1,vSouthAfrica,Dhaka,4/4/2014,yes
JJBumrah,3.3,0,23,3,6.57,2,vAustralia,Adelaide,1/26/2016,no
ANehra,4,0,23,3,5.75,2,vBangladesh,Dhaka,2/24/2016,yes
YuvrajSingh,4,0,24,3,6,2,vAfghanistan,Colombo(RPS),9/19/2012,yes
RAshwin,4,0,24,3,6,2,vSouthAfrica,Cuttack,10/5/2015,yes
AMishra,4,0,24,3,6,1,vWestIndies,Lauderhill,8/28/2016,yes
RVinayKumar,4,0,26,3,6.5,1,vAustralia,Rajkot,10/10/2013,no
AMishra,4,0,26,3,6.5,1,vBangladesh,Dhaka,3/28/2014,no
ANehra,4,0,28,3,7,2,vEngland,Nagpur,1/29/2017,no
BKumar,4,0,35,3,8.75,1,vAustralia,Rajkot,10/10/2013,no
ABDinda,4,0,36,3,9,2,vPakistan,Ahmedabad,12/28/2012,no
LBalaji,3.5,0,37,3,9.65,2,vSouthAfrica,Colombo(RPS),10/2/2012,no
MohammedShami,4,0,38,3,9.5,1,vEngland,Birmingham,9/7/2014,no
YSChahal,4,0,43,3,10.75,1,vSriLanka,Colombo(RPS),9/6/2017,no
RAJadeja,4,0,48,3,12,1,vWestIndies,Dhaka,3/23/2014,no
SKRaina,2,0,6,2,3,1,vSriLanka,Visakhapatnam,2/14/2016,yes
BKumar,4,2,8,2,2,1,vU.A.E.,Dhaka,3/3/2016,yes
RAJadeja,3,0,11,2,3.66,1,vPakistan,Dhaka,2/27/2016,yes
RAshwin,3,0,11,2,3.66,1,vWestIndies,Lauderhill,8/28/2016,yes
PPChawla,4,1,13,2,3.25,2,vEngland,Colombo(RPS),9/23/2012,yes
AMishra,3,0,13,2,4.33,2,vAustralia,Dhaka,3/30/2014,yes
RAshwin,3,0,13,2,4.33,2,vSriLanka,Pune,2/9/2016,yes
RAshwin,4,0,15,2,3.75,1,vBangladesh,Dhaka,3/28/2014,yes
RAshwin,4,0,16,2,4,1,vPakistan,Colombo(RPS),9/30/2012,yes
YuvrajSingh,3,0,16,2,5.33,1,vPakistan,Colombo(RPS),9/30/2012,yes
IKPathan,3,0,17,2,5.66,2,vEngland,Colombo(RPS),9/23/2012,yes
JJBumrah,3,0,17,2,5.66,2,vSriLanka,Ranchi,2/12/2016,yes
ABDinda,3,0,18,2,6,1,vEngland,Pune,12/20/2012,yes
AMishra,4,0,18,2,4.5,1,vWestIndies,Dhaka,3/23/2014,yes
RAshwin,4,0,20,2,5,2,vAfghanistan,Colombo(RPS),9/19/2012,yes
RAshwin,4,0,20,2,5,2,vBangladesh,Bengaluru,3/23/2016,yes
