Player,Inns,Runs,Overs,Conc,Wkts,Ct,St,Opposition,Ground,StartDate,Result
STRBinny,2,0,4.4,4,6,0,0,vBangladesh,Dhaka,6/17/2014,no
AMishra,1,0,8.5,48,6,0,0,vZimbabwe,Bulawayo,8/3/2013,yes
AMishra,2,0,6,18,5,0,0,vNewZealand,Visakhapatnam,10/29/2016,yes
JJBumrah,1,0,10,27,5,1,0,vSriLanka,Pallekele,8/27/2017,yes
RAJadeja,1,0,10,36,5,1,0,vWestIndies,TheOval,6/11/2013,yes
BKumar,1,0,9.4,42,5,1,0,vSriLanka,Colombo(RPS),9/3/2017,yes
BKumar,2,0,6,8,4,0,0,vSriLanka,PortofSpain,7/9/2013,no
JJBumrah,1,0,10,22,4,1,0,vZimbabwe,Harare,6/15/2016,yes
MMSharma,2,0,8,22,4,0,0,vBangladesh,Dhaka,6/17/2014,yes
RAJadeja,1,0,7.5,23,4,0,0,vSriLanka,PortofSpain,7/11/2013,yes
RAshwin,1,0,10,25,4,0,0,vU.A.E.,Perth,2/28/2015,yes
JJBumrah,1,0,9.5,28,4,0,0,vZimbabwe,Harare,6/11/2016,yes
RAJadeja,2,0,7,28,4,1,0,vEngland,Cardiff,8/27/2014,yes
RAJadeja,1,0,10,30,4,0,0,vAfghanistan,Dhaka,3/5/2014,yes
UTYadav,2,0,9,31,4,0,0,vBangladesh,Melbourne,3/19/2015,yes
BKumar,2,0,10,33,4,0,0,vZimbabwe,Harare,7/12/2015,yes
DSKulkarni,2,0,10,34,4,0,0,vSriLanka,Kolkata,11/13/2014,yes
ISharma,2,0,8,34,4,1,0,vSriLanka,Cuttack,11/2/2014,yes
MohammedShami,2,0,9,35,4,0,0,vPakistan,Adelaide,2/15/2015,yes
MohammedShami,2,0,9.3,36,4,1,0,vWestIndies,Delhi,10/11/2014,yes
ISharma,1,0,10,40,4,0,0,vSouthAfrica,Centurion,12/11/2013,yes
JDUnadkat,2,0,10,41,4,0,0,vZimbabwe,Harare,7/26/2013,yes
JJBumrah,1,0,10,43,4,0,0,vSriLanka,Pallekele,8/24/2017,yes
AMishra,1,0,10,47,4,0,0,vZimbabwe,Harare,7/28/2013,yes
MohammedShami,1,0,10,48,4,0,0,vWestIndies,Kingston,7/6/2017,yes
MohammedShami,1,0,10,50,4,1,0,vBangladesh,Fatullah,2/26/2014,yes
UTYadav,1,0,9,53,4,1,0,vSriLanka,Hyderabad(Deccan),11/9/2014,yes
MohammedShami,1,0,9,55,4,1,0,vNewZealand,Napier,1/19/2014,yes
MohammedShami,1,0,9,66,4,0,0,vWestIndies,Kochi,10/8/2014,yes
UTYadav,1,0,9,72,4,0,0,vAustralia,Sydney,3/26/2015,yes
ISharma,1,0,10,77,4,1,0,vAustralia,Canberra,1/20/2016,yes
RAJadeja,1,0,6.2,19,3,0,0,vEngland,Ranchi,1/19/2013,yes
YSChahal,1,0,6,25,3,0,0,vZimbabwe,Harare,6/13/2016,yes
AMishra,1,0,8.4,25,3,0,0,vZimbabwe,Bulawayo,8/1/2013,yes
MohammedShami,1,0,7.3,28,3,0,0,vEngland,Birmingham,9/2/2014,yes
RAshwin,2,0,10,28,3,0,0,vWestIndies,NorthSound,6/30/2017,yes
KMJadhav,1,0,5,29,3,1,0,vNewZealand,Mohali,10/23/2016,yes
BKumar,2,0,8,29,3,1,0,vWestIndies,PortofSpain,7/5/2013,yes
BKumar,2,0,10,29,3,0,0,vEngland,Kochi,1/15/2013,yes
RAJadeja,2,0,10,30,3,0,0,vSriLanka,Fatullah,2/28/2014,yes
UTYadav,2,0,7.4,30,3,0,0,vPakistan,Birmingham,6/4/2017,yes
RAshwin,1,0,10,31,3,0,0,vAfghanistan,Dhaka,3/5/2014,yes
HHPandya,1,0,7,31,3,0,0,vNewZealand,Dharamsala,10/16/2016,yes
UTYadav,2,0,8,32,3,0,0,vWestIndies,PortofSpain,7/5/2013,yes
