Player,Inns,Runs,Overs,Conc,Wkts,Ct,St,Opposition,Ground,StartDate,Result
YSChahal,2,0,4,25,6,0,0,vEngland,Bengaluru,2/1/2017,yes
RAshwin,1,0,4,8,4,0,0,vSriLanka,Visakhapatnam,2/14/2016,no
BBSran,1,0,4,10,4,0,0,vZimbabwe,Harare,6/20/2016,no
RAshwin,2,0,3.2,11,4,0,0,vAustralia,Dhaka,3/30/2014,yes
HarbhajanSingh,2,0,4,12,4,0,0,vEngland,Colombo(RPS),9/23/2012,yes
HHPandya,1,0,3.3,8,3,0,0,vPakistan,Dhaka,2/27/2016,no
BKumar,2,0,4,9,3,1,0,vPakistan,Bengaluru,12/25/2012,no
JJBumrah,1,0,4,11,3,0,0,vZimbabwe,Harare,6/20/2016,yes
RAshwin,2,0,4,14,3,0,0,vSriLanka,Ranchi,2/12/2016,yes
JJBumrah,2,0,2.3,14,3,0,0,vEngland,Bengaluru,2/1/2017,yes
ARPatel,2,0,4,17,3,0,0,vZimbabwe,Harare,7/17/2015,yes
YuvrajSingh,2,0,4,17,3,0,0,vEngland,Mumbai,12/22/2012,yes
YuvrajSingh,1,0,4,19,3,0,0,vEngland,Pune,12/20/2012,yes
LBalaji,2,0,3.3,19,3,0,0,vAfghanistan,Colombo(RPS),9/19/2012,yes
RAshwin,1,0,4,22,3,0,0,vSouthAfrica,Dhaka,4/4/2014,yes
LBalaji,1,0,3.4,22,3,0,0,vPakistan,Colombo(RPS),9/30/2012,yes
ZKhan,2,0,4,22,3,0,0,vSouthAfrica,Colombo(RPS),10/2/2012,yes
JJBumrah,2,0,3.3,23,3,0,0,vAustralia,Adelaide,1/26/2016,yes
ANehra,2,0,4,23,3,0,0,vBangladesh,Dhaka,2/24/2016,yes
AMishra,1,0,4,24,3,1,0,vWestIndies,Lauderhill,8/28/2016,yes
RAshwin,2,0,4,24,3,0,0,vSouthAfrica,Cuttack,10/5/2015,yes
YuvrajSingh,2,0,4,24,3,1,0,vAfghanistan,Colombo(RPS),9/19/2012,yes
AMishra,1,0,4,26,3,0,0,vBangladesh,Dhaka,3/28/2014,yes
RVinayKumar,1,0,4,26,3,1,0,vAustralia,Rajkot,10/10/2013,yes
ANehra,2,0,4,28,3,0,0,vEngland,Nagpur,1/29/2017,yes
BKumar,1,0,4,35,3,0,0,vAustralia,Rajkot,10/10/2013,yes
ABDinda,2,0,4,36,3,0,0,vPakistan,Ahmedabad,12/28/2012,yes
LBalaji,2,0,3.5,37,3,0,0,vSouthAfrica,Colombo(RPS),10/2/2012,yes
MohammedShami,1,0,4,38,3,0,0,vEngland,Birmingham,9/7/2014,yes
YSChahal,1,0,4,43,3,0,0,vSriLanka,Colombo(RPS),9/6/2017,yes
RAJadeja,1,0,4,48,3,0,0,vWestIndies,Dhaka,3/23/2014,yes
SKRaina,1,0,2,6,2,1,0,vSriLanka,Visakhapatnam,2/14/2016,no
BKumar,1,0,4,8,2,1,0,vU.A.E.,Dhaka,3/3/2016,no
RAshwin,1,0,3,11,2,0,0,vWestIndies,Lauderhill,8/28/2016,yes
RAJadeja,1,0,3,11,2,0,0,vPakistan,Dhaka,2/27/2016,yes
RAshwin,2,0,3,13,2,0,0,vSriLanka,Pune,2/9/2016,yes
PPChawla,2,0,4,13,2,0,0,vEngland,Colombo(RPS),9/23/2012,yes
AMishra,2,0,3,13,2,0,0,vAustralia,Dhaka,3/30/2014,yes
RAshwin,1,0,4,15,2,0,0,vBangladesh,Dhaka,3/28/2014,yes
RAshwin,1,0,4,16,2,0,0,vPakistan,Colombo(RPS),9/30/2012,yes
YuvrajSingh,1,0,3,16,2,0,0,vPakistan,Colombo(RPS),9/30/2012,yes
JJBumrah,2,0,3,17,2,0,0,vSriLanka,Ranchi,2/12/2016,yes
IKPathan,2,0,3,17,2,0,0,vEngland,Colombo(RPS),9/23/2012,yes
ABDinda,1,0,3,18,2,0,0,vEngland,Pune,12/20/2012,yes
AMishra,1,0,4,18,2,0,0,vWestIndies,Dhaka,3/23/2014,yes
KuldeepYadav,1,0,4,20,2,0,0,vSriLanka,Colombo(RPS),9/6/2017,yes
RAshwin,2,0,4,20,2,0,0,vBangladesh,Bengaluru,3/23/2016,yes
RAshwin,2,0,4,20,2,1,0,vAfghanistan,Colombo(RPS),9/19/2012,yes
JJBumrah,2,0,4,20,2,1,0,vEngland,Nagpur,1/29/2017,yes
RAJadeja,2,0,4,21,2,1,0,vAustralia,Adelaide,1/26/2016,yes
ANehra,2,0,3,21,2,0,0,vSriLanka,Pune,2/9/2016,yes
AMishra,1,0,4,22,2,0,0,vPakistan,Dhaka,3/21/2014,yes
RAJadeja,2,0,4,22,2,1,0,vBangladesh,Bengaluru,3/23/2016,yes
DSKulkarni,2,0,4,23,2,0,0,vZimbabwe,Harare,6/22/2016,yes
YuvrajSingh,2,0,4,23,2,0,0,vSouthAfrica,Colombo(RPS),10/2/2012,yes
JJBumrah,1,0,4,24,2,0,0,vZimbabwe,Harare,6/18/2016,yes
RAJadeja,2,0,4,24,2,0,0,vSriLanka,Ranchi,2/12/2016,yes
RAshwin,1,0,4,26,2,1,0,vSriLanka,Dhaka,3/1/2016,yes
JJBumrah,1,0,4,26,2,0,0,vWestIndies,Lauderhill,8/28/2016,yes
BKumar,1,0,4,26,2,0,0,vZimbabwe,Harare,7/19/2015,yes
HHPandya,1,0,4,26,2,1,0,vSriLanka,Dhaka,3/1/2016,yes
ANehra,2,0,3,26,2,0,0,vSriLanka,Ranchi,2/12/2016,yes
JJBumrah,1,0,4,27,2,0,0,vSriLanka,Dhaka,3/1/2016,yes
YSChahal,2,0,4,27,2,0,0,vEngland,Kanpur,1/26/2017,yes
MMSharma,1,0,4,28,2,0,0,vZimbabwe,Harare,7/19/2015,yes
RAshwin,2,0,4,28,2,0,0,vAustralia,Adelaide,1/26/2016,yes
HarbhajanSingh,2,0,4,29,2,0,0,vZimbabwe,Harare,7/17/2015,yes
HHPandya,2,0,3,29,2,1,0,vBangladesh,Bengaluru,3/23/2016,yes
